dteday,hr,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,weather_category
2011-01-01,0,1.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,Weekend,Clear
2011-01-01,1,2.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,Weekend,Clear
2011-01-01,2,3.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,Weekend,Clear
2011-01-01,3,4.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,Weekend,Clear
2011-01-01,4,5.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,Weekend,Clear
2011-01-01,5,6.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,Weekend,Mist/Cloudy
2011-01-01,6,7.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,Weekend,Clear
2011-01-01,7,8.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,Weekend,Clear
2011-01-01,8,9.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,Weekend,Clear
2011-01-01,9,10.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,Weekend,Clear
2011-01-01,10,11.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,Weekend,Clear
2011-01-01,11,12.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,Weekend,Clear
2011-01-01,12,13.0,1.0,0.0,1,0.0,6.0,0.0,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,Weekend,Clear
2011-01-01,13,14.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,Weekend,Mist/Cloudy
2011-01-01,14,15.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,Weekend,Mist/Cloudy
2011-01-01,15,16.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0,Weekend,Mist/Cloudy
2011-01-01,16,17.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,Weekend,Mist/Cloudy
